City,Latitude,Longitude,Max Temp,Humidity,Clouds,Wind (in mph),Country,Date
Morant Bay,17.8815,-76.4093,301.94,84,77,4.99,JM,1621475351
Barreirinhas,-2.7469,-42.8264,297.74,91,0,2.09,BR,1621475351
Kelo,9.3086,15.8066,302.28,49,10,3.01,TD,1621475352
Vila Velha,-20.3297,-40.2925,294.79,93,40,1.34,BR,1621475352
Manakara,-22.1333,48.0167,293.01,78,100,2.78,MG,1621475352
Baker,30.5882,-91.1682,297.12,78,90,6.17,US,1621475353
Shiraz,29.6036,52.5388,288.84,27,0,0.0,IR,1621475325
Pitimbu,-7.4706,-34.8086,297.48,80,0,2.11,BR,1621475353
Kurumkan,54.3,110.3,281.16,48,100,1.16,RU,1621475353
Synya,65.3718,58.0387,290.69,71,99,2.8,RU,1621475354
Hambantota,6.1241,81.1185,300.34,79,40,6.69,LK,1621475354
Bilma,18.6853,12.9164,303.28,10,0,6.28,NE,1621475354
Port Hardy,50.6996,-127.4199,285.25,66,75,6.17,CA,1621475354
Bunia,1.5667,30.25,290.01,92,100,0.81,CD,1621475355
Retie,51.2666,5.0839,282.06,95,0,1.72,BE,1621475355
Igarka,67.4667,86.5833,267.26,89,54,2.49,RU,1621475355
Nome,64.5011,-165.4064,281.57,70,1,3.6,US,1621475356
Sukumo,32.9333,132.7333,295.66,98,100,4.86,JP,1621475356
Chingirlau,51.095,54.0814,290.33,69,100,8.23,KZ,1621475356
Yerbogachën,61.2767,108.0108,278.68,27,16,1.18,RU,1621475357
Comodoro Rivadavia,-45.8667,-67.5,285.07,87,0,2.57,AR,1621475357
Haradok,55.4624,29.9816,283.06,98,100,5.21,BY,1621475357
Dawlatabad,36.4141,64.9053,299.44,13,24,2.75,AF,1621475357
Ode,7.7899,5.7117,294.69,96,98,3.0,NG,1621475358
Rio Grande,-32.035,-52.0986,285.87,78,100,2.42,BR,1621475084
Kez,57.8979,53.7152,286.8,69,0,2.01,RU,1621475358
Shubarshi,48.5872,57.1869,290.9,77,89,6.08,KZ,1621475358
Bugiri,0.5714,33.7417,291.06,93,100,0.71,UG,1621475295
Tsumeb,-19.2333,17.7167,283.9,44,0,2.07,NA,1621475359
Leningradskiy,69.3833,178.4167,274.62,84,98,3.26,RU,1621475359
Itaituba,-4.2761,-55.9836,296.34,98,100,0.27,BR,1621475359
Weinan,34.5036,109.5089,293.98,31,0,3.37,CN,1621475360
Vostok,46.4856,135.8833,297.59,36,96,3.64,RU,1621475360
Karakol,42.4907,78.3936,284.66,66,100,0.83,KG,1621475360
Maple Creek,49.9168,-109.4848,284.18,40,100,2.57,CA,1621475361
Neiafu,-18.65,-173.9833,301.53,69,20,4.63,TO,1621475361
Arrondissement de Pontarlier,46.8333,6.25,278.12,99,97,1.47,FR,1621475361
Victoria Point,-27.5833,153.3,297.68,58,63,3.58,AU,1621475362
Angoche,-16.2325,39.9086,295.07,83,8,3.9,MZ,1621475362
Ancud,-41.8697,-73.8203,283.94,83,17,6.17,CL,1621475362
Paamiut,61.994,-49.6678,275.98,78,100,6.18,GL,1621475363
Eureka,40.8021,-124.1637,285.69,73,2,3.13,US,1621475071
Gizo Government Station,-8.103,156.8419,302.98,65,100,1.5,SB,1621475363
Tonj,7.2737,28.6822,295.28,91,96,1.06,SS,1621475363
Den Helder,52.9599,4.7593,283.14,93,75,3.09,NL,1621475364
Alice Springs,-23.7,133.8833,296.6,21,0,5.36,AU,1621475364
Coruripe,-10.1256,-36.1756,297.17,89,63,0.25,BR,1621475364
Kamaishi,39.2667,141.8833,292.68,71,100,2.19,JP,1621475364
Iqaluit,63.7506,-68.5145,268.0,58,75,2.57,CA,1621475326
Saskylakh,71.9167,114.0833,271.06,89,100,4.48,RU,1621475365
Bhachāu,23.2833,70.35,302.59,61,20,4.83,IN,1621475365
Sisimiut,66.9395,-53.6735,271.4,95,100,5.71,GL,1621475365
Bartica,6.4,-58.6167,298.33,99,55,0.99,GY,1621475366
Yuli,9.6989,10.2744,301.92,51,27,2.78,NG,1621475366
Alofi,-19.0595,-169.9187,302.09,74,75,4.63,NU,1621475366
Sambava,-14.2667,50.1667,295.22,79,15,5.68,MG,1621475367
Xai-Xai,-25.0519,33.6442,289.41,86,35,3.51,MZ,1621475116
Dalhousie,32.5333,75.9833,288.04,60,0,0.67,IN,1621475367
Nicoya,10.1483,-85.452,299.9,79,75,1.31,CR,1621475367
Pudozh,61.8099,36.5345,289.6,88,56,2.95,RU,1621475368
Nemuro,43.3236,145.575,292.39,90,62,4.83,JP,1621475368
Riyadh,24.6877,46.7219,306.18,12,0,1.54,SA,1621475160
Apatity,67.5641,33.4031,282.35,81,98,3.23,RU,1621475368
Polunochnoye,60.8697,60.4153,289.94,52,97,2.66,RU,1621475369
Flinders,-34.5833,150.8552,292.48,51,79,0.45,AU,1621475369
Yangi Marg`ilon,40.4272,71.7189,291.55,59,88,2.06,UZ,1621475369
Ust-Kuyga,70.0167,135.6,274.82,76,84,3.87,RU,1621475370
Camaçari,-12.6975,-38.3242,299.02,85,29,1.91,BR,1621475370
Arenápolis,-14.4503,-56.8461,295.21,55,14,1.76,BR,1621475370
Ngunguru,-35.6167,174.5,291.57,69,100,2.15,NZ,1621475371
Gander,48.9682,-54.5906,283.22,57,40,4.12,CA,1621475371
Bridlington,54.0831,-0.1919,280.87,86,56,4.69,GB,1621475371
Machilipatnam,16.1667,81.1333,302.26,67,38,5.94,IN,1621475371
Sivaki,52.6333,126.75,279.28,86,100,2.91,RU,1621475372
Kavieng,-2.5744,150.7967,302.97,68,17,2.73,PG,1621475372
Markova,48.6758,24.4138,278.69,95,90,1.41,UA,1621475372
Kargat,55.1956,80.2811,279.19,46,33,6.6,RU,1621475373
Pauini,-7.7136,-66.9764,295.71,98,20,1.24,BR,1621475373
Riachão,-7.3619,-46.6172,297.99,72,71,1.24,BR,1621475373
‘Āhuimanu,21.4447,-157.8378,300.99,61,20,8.75,US,1621475374
Lockhart,28.6194,-81.4426,297.26,81,100,1.34,US,1621475374
Plettenberg Bay,-34.0527,23.3716,289.99,55,89,2.33,ZA,1621475374
Dalvik,65.9702,-18.5286,273.11,80,55,1.04,IS,1621475374
Popondetta,-8.7537,148.2534,304.89,57,100,1.66,PG,1621475375
Mayahi,13.9553,7.6712,303.17,14,50,3.69,NE,1621475375
Mvomero,-6.25,38.6667,292.67,91,97,1.75,TZ,1621475375
Menzel Salem,35.8567,8.4765,288.15,72,98,2.2,TN,1621475376
Vilyuysk,63.7553,121.6247,280.88,33,64,3.36,RU,1621475376
Mount Gambier,-37.8333,140.7667,288.1,88,90,2.57,AU,1621475376
Lafia,8.4833,8.5167,299.6,78,69,1.62,NG,1621475377
Waldoboro,44.0954,-69.3756,287.8,79,19,2.06,US,1621475377
Willowmore,-33.2926,23.4895,287.07,53,78,2.24,ZA,1621475377
Balsas,-7.5325,-46.0356,298.03,74,40,1.05,BR,1621475377
Gornopravdinsk,60.05,69.9,278.17,90,100,4.48,RU,1621475378
Hokitika,-42.7167,170.9667,286.13,73,100,1.31,NZ,1621475378
Oranjemund,-28.55,16.4333,287.29,82,21,4.65,NA,1621475378
Broome,42.2506,-75.833,292.8,89,100,1.41,US,1621475379
Linköping,58.4109,15.6216,279.81,91,78,2.06,SE,1621475379
Gidrotorf,56.4744,43.5414,293.14,85,0,3.96,RU,1621475379
Jacareacanga,-6.2222,-57.7528,295.92,98,100,0.67,BR,1621475380
Gillette,44.2911,-105.5022,294.79,39,40,5.81,US,1621475380
Helong,42.5397,128.9972,299.99,30,100,2.18,CN,1621475380
Quang Ngai,15.1167,108.8,307.82,45,100,1.67,VN,1621475380
Yinchuan,38.4681,106.2731,297.14,17,0,2.92,CN,1621475381
Loreto,22.2667,-101.9667,293.86,9,0,6.28,MX,1621475381
Lastoursville,-0.8143,12.7287,295.41,98,86,0.88,GA,1621475381
Apastovo,55.2029,48.5109,289.32,75,2,6.18,RU,1621475382
Tarko-Sale,64.9225,77.785,275.37,57,100,2.4,RU,1621475382
Vilhena,-12.7406,-60.1458,293.46,71,34,0.96,BR,1621475382
Puntarenas,9.9763,-84.8384,301.11,79,84,2.3,CR,1621475289
Neuquén,-38.9516,-68.0591,285.09,94,0,0.0,AR,1621475355
Chowchilla,37.123,-120.2602,300.32,23,1,8.8,US,1621475383
Magdagachi,53.45,125.8,277.34,94,100,0.73,RU,1621475383
Wanlaweyn,2.6185,44.8938,296.93,88,97,5.75,SO,1621475383
São Gabriel da Cachoeira,-0.1303,-67.0892,295.98,99,100,0.61,BR,1621475384
Gobabis,-22.45,18.9667,286.43,44,7,5.75,NA,1621475384
Ust-Tsilma,65.441,52.1498,293.98,58,77,2.93,RU,1621475384
Skjervøy,70.0311,20.9714,278.93,96,100,1.89,NO,1621475384
Eirunepé,-6.6603,-69.8736,295.89,95,100,1.1,BR,1621475385
Pandan,14.0453,124.1694,302.08,79,100,3.23,PH,1621475385
Yakeshi,49.2833,120.7333,288.6,33,57,1.35,CN,1621475385
Bikaner,28.0167,73.3,297.87,62,5,3.09,IN,1621475386
Kirovskiy,45.0917,133.5136,299.34,43,0,3.72,RU,1621475386
Kieta,-6.2167,155.6333,302.73,70,99,2.14,PG,1621475386
Kisanga,-7.4362,37.7034,293.15,87,98,1.65,TZ,1621475386
Isoka,-10.1606,32.6335,285.41,94,38,0.72,ZM,1621475387
Shimoda,34.6667,138.95,298.24,84,100,3.26,JP,1621475387
Osypenko,46.9136,36.8253,286.95,88,1,5.88,UA,1621475387
Pochutla,15.7432,-96.4661,301.62,69,7,3.4,MX,1621475388
Nantucket,41.2835,-70.0995,287.21,82,1,1.54,US,1621475248
Charter Township of Clinton,42.587,-82.9199,298.85,58,90,0.45,US,1621475154
Marzuq,14.4,46.4667,299.49,31,95,0.65,YE,1621475388
Pasvalys,56.0594,24.4036,282.77,84,100,2.79,LT,1621475389
Husavik,66.0449,-17.3389,273.1,74,10,1.48,IS,1621475389
Alekseyevsk,57.8406,108.3492,278.14,34,24,3.13,RU,1621475389
Denpasar,-8.65,115.2167,301.96,71,40,3.47,ID,1621475130
Gilgit,35.9221,74.3087,291.6,57,93,0.83,PK,1621475390
Padang,-0.9492,100.3543,303.18,71,100,0.41,ID,1621475390
Torbay,47.6666,-52.7314,278.86,78,40,4.63,CA,1621475390
Luena,-11.7833,19.9167,286.9,66,79,1.44,AO,1621475391
Meadow Lake,34.8014,-106.5436,296.19,46,63,3.33,US,1621475391
Taoudenni,22.6783,-3.9836,308.99,15,99,9.14,ML,1621475391
Indramayu,-6.3264,108.32,301.29,73,91,2.28,ID,1621475391
Tezu,27.9167,96.1667,296.27,98,100,1.41,IN,1621475392
Chara,56.9064,118.2631,276.81,42,69,1.32,RU,1621475392
Kaeo,-35.1,173.7833,291.66,66,100,1.0,NZ,1621475393
Kyrenia,35.3417,33.3167,291.9,72,0,3.93,CY,1621475393
Ivanovo,56.9942,40.9858,287.76,94,2,2.86,RU,1621475393
Jalalpur Pirwala,29.5069,71.2192,303.04,37,0,6.57,PK,1621475393
Road Town,18.4167,-64.6167,301.2,78,20,1.54,VG,1621475394
Filingué,14.3521,3.3168,306.81,24,91,2.51,NE,1621475394
Ipixuna,-1.7625,-48.8043,299.12,97,4,1.59,BR,1621475394
Capula,19.7,-101.8,284.54,42,0,1.95,MX,1621475395
Kaohsiung City,22.6163,120.3133,306.2,73,75,3.58,TW,1621475395
São João da Barra,-21.6403,-41.0511,293.24,83,34,1.83,BR,1621475130
Zhigansk,66.7697,123.3711,278.01,43,14,0.47,RU,1621475395
Hilton Head,32.2163,-80.7526,296.15,71,20,3.6,US,1621475396
Turbiv,49.3479,28.7212,282.49,96,98,4.33,UA,1621475396
Vanimo,-2.6741,141.3028,303.07,67,84,2.25,PG,1621475396
Vasai,19.47,72.8,300.2,74,63,3.47,IN,1621475397
Takhtamygda,54.1,123.5667,282.41,58,58,2.88,RU,1621475397
Kangaatsiaq,68.3065,-53.4641,274.08,89,100,1.44,GL,1621475397
Riohacha,11.5444,-72.9072,299.05,89,18,3.5,CO,1621475398
Viedma,-40.8135,-62.9967,285.2,87,100,4.53,AR,1621475398
Birin,26.8865,88.0718,292.86,76,87,0.4,NP,1621475398
Oktyabr'skiy,54.4815,53.471,288.2,65,0,3.37,RU,1621475399
Tabuk,17.4189,121.4443,306.38,41,5,3.28,PH,1621475399
Carndonagh,55.25,-7.2667,279.69,95,100,2.66,IE,1621475399
Akhmeta,42.0311,45.2075,286.44,78,0,2.36,GE,1621475400
Cabra,37.4725,-4.4421,291.85,61,60,0.89,ES,1621475400
Beira,-19.8436,34.8389,293.2,77,0,1.19,MZ,1621475400
Dalbandin,28.8947,64.4101,302.08,10,0,2.11,PK,1621475400
Alta Floresta,-9.8756,-56.0861,296.05,94,0,0.0,BR,1621475401
Caravelas,-17.7125,-39.2481,294.84,86,3,0.9,BR,1621475401
